,Name,Instrument Type,Currency,Contributor,RIC
132,UK Pound Sterling 7 Month Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP7MOIS=TWEB
133,UK Pound Sterling 1 Week Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP1WOIS=TWEB
134,UK Pound Sterling 15 Month Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP15MOIS=TWEB
135,UK Pound Sterling 40 Year Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP40YOIS=TWEB
136,UK Pound Sterling 50 Year Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP50YOIS=TWEB
137,UK Pound Sterling 2 Week Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP2WOIS=TWEB
138,UK Pound Sterling 3 Week Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP3WOIS=TWEB
139,UK Pound Sterling 13 Year Overnight Index Swap,Quote,C:4,Tullett Prebon,GBP13YOIS=SMKR
140,UK Pound Sterling 21 Month Overnight Index Swap,Quote,C:4,Fenics Market Data,GBP21MOIS=FMD
141,UK Pound Sterling 14 Year Overnight Index Swap,Quote,C:4,Tullett Prebon,GBP14YOIS=SMKR
142,UK Pound Sterling 45 Year Overnight Index Swap,Quote,C:4,Tradition,GBP45YOIS=TRDL
143,UK Pound Sterling Overnight Overnight Index Swap,Quote,C:4,Societe Generale,GBPONOIS=SGEP
144,UK Pound Sterling 35 Year Overnight Index Swap,Quote,C:4,Tullett Prebon,GBP35YOIS=SMKR
145,UK Pound Sterling 70 Year Overnight Index Swap,Quote,C:4,Tullett Prebon,GBP70YOIS=SMKR
146,UK Pound Sterling 11 Year Overnight Index Swap,Quote,C:4,Fenics Market Data,GBP11YOIS=FMD
147,UK Pound Sterling 60 Year Overnight Index Swap,Quote,C:4,Fenics Market Data,GBP60YOIS=FMD
148,UK Pound Sterling 1 Year Basis Swap,Quote,C:4,Fenics Market Data,GBP3L6L1Y=FMD
149,UK Pound Sterling 2 Year Basis Swap,Quote,C:4,Fenics Market Data,GBP3L6L2Y=FMD
150,UK Pound Sterling 3 Year Basis Swap,Quote,C:4,Fenics Market Data,GBP3L6L3Y=FMD
151,UK Pound Sterling 5 Year Basis Swap,Quote,C:4,Fenics Market Data,GBP3L6L5Y=FMD
152,UK Pound Sterling 4 Year Basis Swap,Quote,C:4,Fenics Market Data,GBP3L6L4Y=FMD
153,UK Pound Sterling 7 Year Basis Swap,Quote,C:4,Fenics Market Data,GBP3L6L7Y=FMD
154,UK Pound Sterling 10 Year Basis Swap,Quote,C:4,Fenics Market Data,GBP3L6L10Y=FMD
155,UK Pound Sterling 9 Month Basis Swap,Quote,C:4,Fenics Market Data,GBPSO3L9M=FMD
156,UK Pound Sterling 6 Month Basis Swap,Quote,C:4,Fenics Market Data,GBPSO3L6M=FMD
157,UK Pound Sterling 1 Year Basis Swap,Quote,C:4,Fenics Market Data,GBPSO3L1Y=FMD
